School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M305,"Urban Assembly Academy of Government and Law, The",2,ENGLISH,350,47.0,573.0,75.0,100.0,6.0,6.311428571428571,295
02M655,The High School for Climate Justice,2,ENGLISH,184,34.0,298.0,60.0,152.0,105.0,6.282608695652174,296
03M860,Frederick Douglass Academy II Secondary School,3,ENGLISH,219,37.0,309.0,55.0,95.0,105.0,6.251141552511416,297
02M534,Harvest Collegiate High School,2,ENGLISH,814,71.0,1116.0,115.0,116.0,6.0,6.1928746928746925,298
07X551,The Urban Assembly Bronx Academy of Letters,7,ENGLISH,202,35.0,309.0,45.0,108.0,58.0,6.064356435643564,299
19K764,The Urban Assembly School for Collaborative Healthcare,19,ENGLISH,219,36.0,419.0,71.0,81.0,6.0,5.917808219178082,300
03M403,The Global Learning Collaborative,3,ENGLISH,424,50.0,754.0,90.0,108.0,6.0,5.89622641509434,301
32K168,The Brooklyn School for Math and Research,32,ENGLISH,409,49.0,710.0,99.0,108.0,148.0,5.87041564792176,302
02M520,Murry Bergtraum High School for Business Careers,2,ENGLISH,165,31.0,222.0,38.0,240.0,6.0,5.824242424242424,303
02M308,Lower Manhattan Arts Academy,2,ENGLISH,365,46.0,524.0,69.0,95.0,6.0,5.7972602739726025,304
08X452,Gotham Collaborative High School,8,ENGLISH,224,36.0,343.0,51.0,120.0,6.0,5.785714285714286,305
15K519,Cobble Hill School of American Studies,15,ENGLISH,335,44.0,481.0,62.0,278.0,6.0,5.7791044776119405,306
17K751,Academy for Health Careers,17,ENGLISH,489,53.0,715.0,72.0,108.0,6.0,5.74437627811861,307
18K566,Brooklyn Community High School for Excellence and Equity,18,ENGLISH,353,45.0,448.0,61.0,75.0,6.0,5.736543909348442,308
19K683,School for Classics High School,19,ENGLISH,161,30.0,229.0,54.0,108.0,6.0,5.590062111801243,309
02M432,Murray Hill Academy,2,ENGLISH,347,44.0,558.0,76.0,90.0,6.0,5.579250720461095,310
09X324,Bronx Early College Academy for Teaching & Learning,9,ENGLISH,287,40.0,549.0,93.0,81.0,133.0,5.574912891986063,311
11X513,New World High School,11,ENGLISH,263,38.0,625.0,129.0,108.0,69.0,5.490494296577947,312
14K474,PROGRESS High School for Professional Careers,14,ENGLISH,278,39.0,506.0,81.0,153.0,6.0,5.471223021582734,313
17K547,Brooklyn Academy of Science and the Environment,17,ENGLISH,284,39.0,373.0,53.0,108.0,6.0,5.355633802816901,314
01M515,Lower East Side Preparatory High School,1,ENGLISH,118,25.0,317.0,89.0,75.0,6.0,5.296610169491525,315
07X473,Mott Haven Village Preparatory High School,7,ENGLISH,304,40.0,460.0,62.0,81.0,6.0,5.2631578947368425,316
16K455,Boys and Girls High School,16,ENGLISH,597,56.0,712.0,68.0,369.0,96.0,5.252931323283082,317
13K350,Urban Assembly School of Music and Art,13,ENGLISH,369,44.0,494.0,52.0,108.0,6.0,5.246612466124661,318
19K659,Cypress Hills Collegiate Preparatory School,19,ENGLISH,294,39.0,581.0,86.0,99.0,6.0,5.173469387755102,319
32K545,EBC High School for Public Service - Bushwick,32,ENGLISH,238,35.0,467.0,75.0,126.0,6.0,5.147058823529412,320
25Q241,Queens High School for Language Studies,25,ENGLISH,86,21.0,371.0,90.0,125.0,76.0,5.127906976744186,321
11X290,Bronx Academy of Health Careers,11,ENGLISH,556,53.0,897.0,90.0,108.0,6.0,5.052158273381295,322
04M680,"Heritage School, The",4,ENGLISH,305,39.0,482.0,60.0,80.0,6.0,4.9868852459016395,323
02M395,A School Without Walls,2,ENGLISH,138,26.0,178.0,36.0,100.0,6.0,4.898550724637682,324
14K614,Young Women's Leadership School of Brooklyn,14,ENGLISH,198,31.0,251.0,47.0,93.0,59.0,4.853535353535354,325
06M462,The College Academy,6,ENGLISH,300,38.0,814.0,121.0,121.0,129.0,4.8133333333333335,326
02M529,Jacqueline Kennedy Onassis High School,2,ENGLISH,272,35.0,534.0,81.0,204.0,6.0,4.5036764705882355,327
21K348,High School of Sports Management,21,ENGLISH,201,30.0,386.0,75.0,176.0,6.0,4.477611940298507,328
11X544,High School for Contemporary Arts,11,ENGLISH,446,44.0,607.0,55.0,240.0,6.0,4.3408071748878925,329
14K586,Lyons Community School,14,ENGLISH,122,23.0,174.0,32.0,81.0,6.0,4.336065573770492,330
16K688,The Brooklyn Academy of Global Finance,16,ENGLISH,316,37.0,469.0,56.0,108.0,6.0,4.332278481012659,331
23K697,Teachers Preparatory High School,23,ENGLISH,157,26.0,187.0,35.0,90.0,6.0,4.305732484076433,332
